dataset,model,scenario,portion,I_s_from_x
census_income,sgd_lr,4,90,0.1910847829368059
census_income,mlp_one_layer,4,90,0.34189175481451906
census_income,mlp_two_layer,4,90,0.31928506298542386
census_income,sgd_lr,4,100,0.19126974364205285
census_income,mlp_one_layer,4,100,0.34280445724115055
census_income,mlp_two_layer,4,100,0.31960069564795646
compas,sgd_lr,1,10,0.04008718654811463
compas,mlp_one_layer,1,10,0.046606911241838356
compas,mlp_two_layer,1,10,0.04491316035595953
compas,sgd_lr,1,20,0.04731651751667402
compas,mlp_one_layer,1,20,0.04596002652920501
compas,mlp_two_layer,1,20,0.04495400815726029
compas,sgd_lr,1,30,0.047735001522146166
compas,mlp_one_layer,1,30,0.048440696979046204
compas,mlp_two_layer,1,30,0.05036074218604145
compas,sgd_lr,1,40,0.0481318109342388
compas,mlp_one_layer,1,40,0.05591094913424789
compas,mlp_two_layer,1,40,0.05461286413358691
compas,sgd_lr,1,50,0.046212354237123304
compas,mlp_one_layer,1,50,0.054609629756116045
compas,mlp_two_layer,1,50,0.05214778491338434
compas,sgd_lr,1,60,0.048690873630425124
compas,mlp_one_layer,1,60,0.05571221459622871
compas,mlp_two_layer,1,60,0.05460040168471093
compas,sgd_lr,1,70,0.049016380290984304
compas,mlp_one_layer,1,70,0.05690162564668337
compas,mlp_two_layer,1,70,0.055070568981092985
compas,sgd_lr,1,80,0.04830134550177427
compas,mlp_one_layer,1,80,0.059868124645368406
compas,mlp_two_layer,1,80,0.05858886387518608
compas,sgd_lr,1,90,0.04663501643921598
compas,mlp_one_layer,1,90,0.06318014697546957
compas,mlp_two_layer,1,90,0.05835502065887742
compas,sgd_lr,1,100,0.04710857131675576
compas,mlp_one_layer,1,100,0.06139942940330099
compas,mlp_two_layer,1,100,0.06157719951368154
compas,sgd_lr,2,10,0.040180101363376006
compas,mlp_one_layer,2,10,0.03756818584470044
compas,mlp_two_layer,2,10,0.04069171371681127
compas,sgd_lr,2,20,0.04461547285306185
compas,mlp_one_layer,2,20,0.03976463509365711
compas,mlp_two_layer,2,20,0.041512137539360526
compas,sgd_lr,2,30,0.04709564420585591
compas,mlp_one_layer,2,30,0.05184439637809189
compas,mlp_two_layer,2,30,0.051603268649745467
compas,sgd_lr,2,40,0.046266304829558326
compas,mlp_one_layer,2,40,0.04971435423899464
compas,mlp_two_layer,2,40,0.05047473893410944
compas,sgd_lr,2,50,0.04808798460308059
compas,mlp_one_layer,2,50,0.05600611546395391
compas,mlp_two_layer,2,50,0.05571837121341339
compas,sgd_lr,2,60,0.04806394836493885
compas,mlp_one_layer,2,60,0.05922930110130074
compas,mlp_two_layer,2,60,0.059234640967624846
compas,sgd_lr,2,70,0.04690443145097515
compas,mlp_one_layer,2,70,0.05647623648574049
compas,mlp_two_layer,2,70,0.05656232785120315
compas,sgd_lr,2,80,0.048403161969580076
compas,mlp_one_layer,2,80,0.06153170142464226
compas,mlp_two_layer,2,80,0.05935559803138124
compas,sgd_lr,2,90,0.04839104130534259
compas,mlp_one_layer,2,90,0.06057923774625369
compas,mlp_two_layer,2,90,0.05974476313694834
compas,sgd_lr,2,100,0.048931616881431494
compas,mlp_one_layer,2,100,0.06241561710551169
compas,mlp_two_layer,2,100,0.061492077303641784
