dataset,model,pr(Y=1|S=0),DP,"t(P(S=1), DP)",I_v(X_to_S)
dutch_census,mlp_one_layer,0.73,0.0615362563548232,0.0004733072785609,0.1050019054148446
dutch_census,mlp_two_layer,0.73,0.0543790529943393,0.0003696062555179,0.112903288736856
dutch_census,sgd_lr,0.75,0.0624552346035528,0.0004875502857823,0.0572397749457389
dutch_census,mlp_one_layer,0.75,0.0721927219903407,0.0006514430788377,0.1121543341241229
dutch_census,mlp_two_layer,0.75,0.0798588372262242,0.0007971547545378,0.1039069764911244
dutch_census,sgd_lr,0.77,0.073907066817806,0.0006827521639135,0.0636853938768359
dutch_census,mlp_one_layer,0.77,0.0839290363812814,0.0008804915116177,0.1160488812387473
dutch_census,mlp_two_layer,0.77,0.081040599858504,0.0008209243118589,0.1078125057232383
dutch_census,sgd_lr,0.79,0.0780774264926986,0.0007619841855917,0.0596359228336501
dutch_census,mlp_one_layer,0.79,0.086206647151803,0.000928933334105,0.1002729481751883
dutch_census,mlp_two_layer,0.79,0.0927190534677456,0.0010746030070331,0.1055607513713325
dutch_census,sgd_lr,0.81,0.0867252024908189,0.0009401436676162,0.0616090665851163
dutch_census,mlp_one_layer,0.81,0.1136357260519923,0.0016142318533739,0.1183287066916122
dutch_census,mlp_two_layer,0.81,0.0977163401477554,0.0011935763439633,0.115587422896687
dutch_census,sgd_lr,0.83,0.1047245081614386,0.0013709481859809,0.0665978798277844
dutch_census,mlp_one_layer,0.83,0.1214605200982932,0.0018442403135979,0.1175702691002619
dutch_census,mlp_two_layer,0.83,0.1229771739216196,0.0018905949514345,0.1291788056017614
dutch_census,sgd_lr,0.85,0.1137992265942179,0.0016188811871037,0.0605746727446455
dutch_census,mlp_one_layer,0.85,0.1319100896053106,0.0021753004874953,0.1145677519140362
dutch_census,mlp_two_layer,0.85,0.126639060060368,0.0020048890938606,0.1168387149377261
dutch_census,sgd_lr,0.87,0.1203508642735097,0.0018106897568938,0.0679818557691862
dutch_census,mlp_one_layer,0.87,0.1503646105925558,0.0028267406061597,0.1235753498999961
dutch_census,mlp_two_layer,0.87,0.1405414278813573,0.0024693699122329,0.1165099554157992
dutch_census,sgd_lr,0.89,0.1358084597722915,0.0023058081884771,0.0716502035753617
dutch_census,mlp_one_layer,0.89,0.1574006131489502,0.0030975663000305,0.1225410089969364
dutch_census,mlp_two_layer,0.89,0.1534080000420806,0.0029423632713331,0.1333819773631111
dutch_census,sgd_lr,0.91,0.1374009462867843,0.002360215209232,0.0688536775058718
dutch_census,mlp_one_layer,0.91,0.1639456757394125,0.0033606277583595,0.119662513646907
dutch_census,mlp_two_layer,0.91,0.158523857490648,0.0031419493424003,0.13004860570039
dutch_census,sgd_lr,0.93,0.1523441506694755,0.0029016824122801,0.076605683293295
